id,ka,years
1,0.007,7
2,0.029,29
3,0.097,97
4,0.15,150
5,0.2,200
6,0.212,212
7,0.3,300
8,0.346,346
9,0.522,522
10,0.8,800
11,1,1000
12,1.05,1050
13,1.1,1100
14,1.1,1100
15,1.237,1237
16,1.5,1500
17,1.5,1500
18,1.9,1900
19,1.9,1900
20,2,2000
21,2,2000
22,2,2000
23,2.1,2100
24,2.2,2200
25,2.2,2200
26,2.2,2200
27,2.3,2300
28,2.3,2300
29,2.3,2300
30,2.34,2340
31,2.4,2400
32,2.4,2400
33,2.45,2450
34,2.5,2500
35,2.53,2530
36,2.6,2600
37,2.7,2700
38,2.8,2800
39,2.8,2800
40,2.9,2900
41,3.5,3500
42,3.85,3850
43,4,4000
44,4.8,4800
45,5,5000
46,5,5000
47,5,5000
48,5,5000
49,5.1,5100
50,5.5,5500
51,5.5,5500
52,5.6,5600
53,6,6000
54,6,6000
55,6,6000
56,6.1,6100
57,6.6,6600
58,6.85,6850
59,7,7000
60,7,7000
61,7,7000
62,7,7000
63,7,7000
64,7,7000
65,7,7000
66,7.2,7200
67,7.7,7700
68,7.7,7700
69,7.9,7900
70,8,8000
71,8,8000
72,8.5,8500
73,9,9000
74,9,9000
75,9,9000
76,9,9000
77,9.5,9500
78,9.8,9800
79,9.8,9800
80,10,10000
81,10,10000
82,10,10000
83,10,10000
84,10,10000
85,10,10000
86,10,10000
87,10,10000
88,10.5,10500
89,11,11000
90,11,11000
91,11,11000
92,11,11000
93,11.5,11500
94,11.7,11700
95,12,12000
96,12,12000
97,12,12000
98,12.2,12200
99,12.5,12500
100,12.5,12500
101,12.5,12500
102,12.5,12500
103,12.79,12790
104,12.9,12900
105,13,13000
106,13,13000
107,13,13000
108,13,13000
109,13,13000
110,13,13000
111,13,13000
112,13.4,13400
113,13.4,13400
114,13.5,13500
115,13.5,13500
116,13.5,13500
117,13.5,13500
118,13.5,13500
119,13.5,13500
120,13.5,13500
121,13.5,13500
122,13.5,13500
123,13.57,13570
124,13.73,13730
125,13.75,13750
126,13.775,13775
127,13.855,13855
128,13.97,13970
129,13.99,13990
130,14,14000
131,14,14000
132,14,14000
133,14,14000
134,14,14000
135,14,14000
136,14,14000
137,14.13,14130
138,14.5,14500
139,14.5,14500
140,14.5,14500
141,14.5,14500
142,14.6,14600
143,15,15000
144,15,15000
145,15,15000
146,15,15000
147,15.225,15225
148,15.525,15525
149,15.8,15800
150,15.85,15850
151,15.97,15970
152,16,16000
153,16.11,16110
154,16.15,16150
155,16.3,16300
156,16.435,16435
157,16.5,16500
158,16.5,16500
159,16.5,16500
160,16.75,16750
161,17,17000
162,17,17000
163,17,17000
164,17.1,17100
165,17.8,17800
166,18,18000
167,18.7,18700
168,19,19000
169,19,19000
170,19.4,19400
171,20,20000
172,20,20000
173,20,20000
174,20,20000
175,20.5,20500
176,20.5,20500
177,20.5,20500
178,20.6,20600
179,21,21000
180,21,21000
181,21.2,21200
182,21.4,21400
183,21.5,21500
184,21.5,21500
185,21.8,21800
186,21.8,21800
187,21.9,21900
188,22,22000
189,22.5,22500
190,22.7,22700
191,23.5,23500
192,23.5,23500
193,23.5,23500
194,23.8,23800
195,23.9,23900
196,23.9,23900
197,24,24000
198,24,24000
199,24.1,24100
200,24.4,24400
201,24.6,24600
202,24.9,24900
203,24.9,24900
204,25.3,25300
205,25.4,25400
206,25.4,25400
207,25.6,25600
208,25.8,25800
209,26.4,26400
210,27,27000
211,27.5,27500
212,27.6,27600
213,27.6,27600
214,27.6,27600
215,27.6,27600
216,27.7,27650
217,27.8,27800
218,27.9,27900
219,28,28000
220,28,28000
221,28.2,28200
222,28.3,28300
223,28.5,28500
224,28.5,28500
225,29.2,29200
226,30,30000
227,30,30000
228,30.5,30500
229,30.9,30900
230,31,31000
231,31.2,31200
232,31.9,31900
233,31.9,31900
234,32,32000
235,32.1,32100
236,32.4,32400
237,32.9,32900
238,32.9,32900
239,33,33000
240,33.4,33400
241,34.2,34200
242,34.2,34200
243,34.2,34200
244,34.5,34500
245,34.6,34600
246,34.6,34600
247,34.9,34900
248,35,35000
249,35,35000
250,35.4,35400
251,35.6,35600
252,36,36000
253,36.4,36400
254,37,37000
255,37.4,37400
256,37.6,37600
257,38.4,38400
258,39.8,39800
259,40,40000
260,40,40000
261,41.1,41100
262,43,43000
263,43,43000
264,46,46000
265,47,47000
266,47,47000
267,47,47000
268,47.1,47100
269,48,48000
270,48.2,48200
271,48.5,48500
272,48.9,48900
273,49.1,49100
274,50,50000
275,50,50000
276,50,50000
277,51.4,51400
278,52,52000
279,53,53000
280,54,54000
281,55,55000
282,55,55000
283,55.9,55900
284,56,56000
285,56,56000
286,57,57000
287,59.8,59800
288,61,61000
289,63,63000
290,63,63000
291,64,64000
292,65,65000
293,65,65000
294,66,66000
295,67,67000
296,68,68000
297,68,68000
298,68.2,68200
299,69,69000
300,70,70000
301,70,70000
302,71,71000
303,71.7,71700
304,73,73000
305,74,74000
306,74,74000
307,74,74000
308,75,75000
309,75,75000
310,75,75000
311,75,75000
312,75,75000
313,76,76000
314,78,78000
315,79,79000
316,80,80000
317,80,80000
318,84,84000
319,84.5,84500
320,87,87000
321,89,89000
322,90,90000
323,90,90000
324,90,90000
325,91,91000
326,91.5,91500
327,92,92000
328,93,93000
329,93,93000
330,94,94000
331,97,97000
332,98,98000
333,98,98000
334,100,100000
335,100,100000
336,100,100000
337,100,100000
338,100,100000
339,100,100000
340,105,105000
341,105,105000
342,106,106000
343,107.4,107400
344,109,109000
345,109,109000
346,110,110000
347,111,111000
348,111,111000
349,111,111000
